12c00000-32c00000 rw-p 00000000 00:00 0                                  [anon:dalvik-main space (region space)]
70e25000-70fe6000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot.art]
70fe6000-71017000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-core-libart.art]
71017000-71034000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-okhttp.art]
71034000-7105f000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-bouncycastle.art]
7105f000-71060000 rw-p 00000000 00:00 0                                  [anon:dalvik-/apex/com.android.art/javalib/boot-apache-xml.art]
71060000-71106000 r--p 00000000 07:d0 47                                 /apex/com.android.art/javalib/arm/boot.oat
71106000-71107000 rwxp 000a6000 07:d0 47                                 /apex/com.android.art/javalib/arm/boot.oat
71107000-713dc000 r-xp 000a7000 07:d0 47                                 /apex/com.android.art/javalib/arm/boot.oat
713dc000-713dd000 rw-p 00000000 00:00 0                                  [anon:.bss]
713dd000-713e9000 rw-p 00000000 07:d0 48                                 /apex/com.android.art/javalib/arm/boot.vdex
713e9000-713ea000 r--p 0037c000 07:d0 47                                 /apex/com.android.art/javalib/arm/boot.oat
713ea000-713eb000 rw-p 0037d000 07:d0 47                                 /apex/com.android.art/javalib/arm/boot.oat
713eb000-713f9000 r--p 00000000 07:d0 41                                 /apex/com.android.art/javalib/arm/boot-core-libart.oat
713f9000-71433000 r-xp 0000e000 07:d0 41                                 /apex/com.android.art/javalib/arm/boot-core-libart.oat
71433000-71434000 rw-p 00000000 00:00 0                                  [anon:.bss]
71434000-71436000 rw-p 00000000 07:d0 42                                 /apex/com.android.art/javalib/arm/boot-core-libart.vdex
71436000-71437000 r--p 00048000 07:d0 41                                 /apex/com.android.art/javalib/arm/boot-core-libart.oat
71437000-71438000 rw-p 00049000 07:d0 41                                 /apex/com.android.art/javalib/arm/boot-core-libart.oat
71438000-71445000 r--p 00000000 07:d0 44                                 /apex/com.android.art/javalib/arm/boot-okhttp.oat
71445000-71475000 r-xp 0000d000 07:d0 44                                 /apex/com.android.art/javalib/arm/boot-okhttp.oat
71475000-71476000 rw-p 00000000 00:00 0                                  [anon:.bss]
